id,creator0,creator1,creator2,creator3,creator4,creator5,creator6,creator7,creator8,creator9,creator10,creator11,type0,type1,type2,type3,type4,type5,type6,type7,type8,type9,type10,type11,type12,type13,type14,material0,material1,material2,material3,material4,material5,material6,material7,material8,material9,material10,material11,material12,material13,material14,material15,material16,material17,material18,material19,material20,material21,material22,material23,material24,material25,material26,material27,material28,date0,date1,date2
0000128,Lancret Nicolas,,,,,,,,,,,,tekening,,,,,,,,,,,,,,,papier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700 -  1745,,
0000764,anoniem,,,,,,,,,,,,beeldhouwwerk,beeld,,,,,,,,,,,,,,andesiet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450 -  1450,,
0000298,Hiroyoshi,,,,,,,,,,,,tsuba,,,,,,,,,,,,,,,koper,goud,zilver,,,,,,,,,,,,,,,,,,,,,,,,,,,1800 -  1850,,
0000671,anoniem,,,,,,,,,,,,blad,,,,,,,,,,,,,,,hout,lak,,,,,,,,,,,,,,,,,,,,,,,,,,,,1775 -  1800,,
0000448,anoniem,,,,,,,,,,,,vaas,,,,,,,,,,,,,,,steengoed,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700 -  1800,,
0000437,anoniem,,,,,,,,,,,,kruik,,,,,,,,,,,,,,,steengoed,glazuur,tin,,,,,,,,,,,,,,,,,,,,,,,,,,,ca. 1570 - ca. 1575,,
0000447,anoniem,,,,,,,,,,,,chaire,stoftheebus,,,,,,,,,,,,,,steengoed,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0000014,,,,,,,,,,,,,masker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0000223,anoniem,,,,,,,,,,,,kozuka,,,,,,,,,,,,,,,suassa,sentoku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0000622,Toshihide,,,,,,,,,,,,inro,,,,,,,,,,,,,,,hout,lak,,,,,,,,,,,,,,,,,,,,,,,,,,,,1725 -  1825,,
0000383,anoniem,,,,,,,,,,,,beeldhouwwerk,dierfiguur,,,,,,,,,,,,,,porselein,glazuur,email,,,,,,,,,,,,,,,,,,,,,,,,,,,1662 -  1722,,
0000188,anoniem,,,,,,,,,,,,beeldhouwwerk,kop,,,,,,,,,,,,,,kalksteen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600 -  1699,,
0000418,anoniem,,,,,,,,,,,,kop,,,,,,,,,,,,,,,porselein,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,ca. 1645 - ca. 1660,,
0000100,Carmontelle Louis de,,,,,,,,,,,,tekening,portret,,,,,,,,,,,,,,papier,waterverf,,,,,,,,,,,,,,,,,,,,,,,,,,,,1758 -  1758,,
0000081,anoniem,,,,,,,,,,,,pot,,,,,,,,,,,,,,,aardewerk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300 -  1400,,
0000593,anoniem,,,,,,,,,,,,netsuke,,,,,,,,,,,,,,,hout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700 -  1900,,
0000726,anoniem,,,,,,,,,,,,ritueel object,fragment,,,,,,,,,,,,,,been,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1600 -  -1000,,
0000115,Delamonce Ferdinand,,,,,,,,,,,,tekening,ontwerp,,,,,,,,,,,,,,papier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ca. 1708 - ca. 1718,,
0000913,Robert Hubert,,,,,,,,,,,,tekening,,,,,,,,,,,,,,,papier,waterverf,,,,,,,,,,,,,,,,,,,,,,,,,,,,1765 -  1765,,
0000853,anoniem,,,,,,,,,,,,beeldhouwwerk,beeld,,,,,,,,,,,,,,steen (materiaal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000 -  1100,,
0000548,anoniem,,,,,,,,,,,,beeldhouwwerk,beeld,,,,,,,,,,,,,,steengoed,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0000573,anoniem,,,,,,,,,,,,vaas,,,,,,,,,,,,,,,steengoed,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600 -  1699,,
0000319,anoniem,,,,,,,,,,,,vaas,,,,,,,,,,,,,,,steengoed,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,1368 -  1644,,
0000645,anoniem,,,,,,,,,,,,tafel,,,,,,,,,,,,,,,hout,lak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0000627,anoniem,,,,,,,,,,,,inro,,,,,,,,,,,,,,,hout,lak,parelmoer,,,,,,,,,,,,,,,,,,,,,,,,,,,1800 -  1825,,
0000184,anoniem,,,,,,,,,,,,beeldhouwwerk,beeld,bodhisattva,,,,,,,,,,,,,hout,verguldsel,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100 -  1200,,
0000821,anoniem,,,,,,,,,,,,schotel,,,,,,,,,,,,,,,porselein,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,ca. 1560 -  1580,,
0000368,anoniem,,,,,,,,,,,,kom,,,,,,,,,,,,,,,porselein,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,960 -  1279,,
0000489,anoniem,,,,,,,,,,,,chaire,stoftheebus,,,,,,,,,,,,,,steengoed,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0000506,anoniem,,,,,,,,,,,,kom,theekom,,,,,,,,,,,,,,steengoed,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500 -  1700,,
0000934,anoniem,,,,,,,,,,,,doos,,,,,,,,,,,,,,,lak,goud,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600 -  1699,,
0000402,anoniem,,,,,,,,,,,,beeldhouwwerk,beeld,Avalokitesvara,,,,,,,,,,,,,porselein,glazuur,email,,,,,,,,,,,,,,,,,,,,,,,,,,,1661 -  1722,,
0000730,anoniem,,,,,,,,,,,,cong,ritueel object,,,,,,,,,,,,,,jade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3000 -  -2000,,
0000603,anoniem,,,,,,,,,,,,suzuribako,schrijfcassette,,,,,,,,,,,,,,hout,lak,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600 -  1699,,
0000041,Boucher François,,,,,,,,,,,,tekening,,,,,,,,,,,,,,,papier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1713 -  1770,,
0000544,anoniem,,,,,,,,,,,,kom,theekom,,,,,,,,,,,,,,steengoed,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,1775 -  1800,,
0000876,anoniem,,,,,,,,,,,,beeldhouwwerk,,,,,,,,,,,,,,,leem,verfstof,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700 -  1800,,
0000986,anoniem,,,,,,,,,,,,kandelaar,,,,,,,,,,,,,,,porselein,kobalt,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,1775 -  1800,,
0000034,Boucher François,,,,,,,,,,,,tekening,ontwerp,,,,,,,,,,,,,,papier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1713 -  1734,,
0000035,Boucher François,,,,,,,,,,,,tekening,,,,,,,,,,,,,,,papier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1713 -  1770,,
0000862,anoniem,,,,,,,,,,,,kom,,,,,,,,,,,,,,,aardewerk,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000 -  1200,,
0000060,anoniem,,,,,,,,,,,,gordelhaak,,,,,,,,,,,,,,,brons,zilver,goud,turkoois,,,,,,,,,,,,,,,,,,,,,,,,,,ca. -400 - ca. -100,,
0000215,Goto Denjo,,,,,,,,,,,,kozuka,,,,,,,,,,,,,,,suassa,goud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0000621,anoniem,,,,,,,,,,,,inro,,,,,,,,,,,,,,,hout,lak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0000143,Lavallée-Poussin Etienne de,,,,,,,,,,,,tekening,,,,,,,,,,,,,,,papier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750 -  1793,,
0000021,Blondel Jacques François,,,,,,,,,,,,tekening,,,,,,,,,,,,,,,papier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1715 -  1774,,
0000249,Masanori,,,,,,,,,,,,tsuba,,,,,,,,,,,,,,,ijzer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700 -  1800,,
0000494,anoniem,,,,,,,,,,,,chaire,stoftheebus,,,,,,,,,,,,,,steengoed,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0000996,,,,,,,,,,,,,vaas,rolwagen,,,,,,,,,,,,,,porselein,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,1662 -  1722,,
0000844,anoniem,,,,,,,,,,,,kop,,,,,,,,,,,,,,,porselein,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,1662 -  1722,,
0000093,anoniem,,,,,,,,,,,,beeldhouwwerk,pijler,yakshi,fragment,,,,,,,,,,,,zandsteen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 -  200,,
0000451,anoniem,,,,,,,,,,,,vaas,,,,,,,,,,,,,,,steengoed,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0000372,anoniem,,,,,,,,,,,,schaal (objectnaam),,,,,,,,,,,,,,,steengoed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1279 -  1368,,
0000910,Robert Hubert,,,,,,,,,,,,tekening,,,,,,,,,,,,,,,papier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1754 -  1808,,
0000895,anoniem,,,,,,,,,,,,doos,,,,,,,,,,,,,,,brons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300 -  1600,,
0000651,anoniem,,,,,,,,,,,,beeldhouwwerk,beeld,,,,,,,,,,,,,,hout,lak,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400 -  1600,,
0000555,anoniem,,,,,,,,,,,,pot,,,,,,,,,,,,,,,steengoed,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800 -  1850,,
0000265,anoniem,,,,,,,,,,,,tsuba,,,,,,,,,,,,,,,ijzer,goud,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700 -  1800,,
0000250,anoniem,,,,,,,,,,,,tsuba,,,,,,,,,,,,,,,ijzer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600 -  1699,,
0000837,anoniem,,,,,,,,,,,,kop,,,,,,,,,,,,,,,porselein,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,1662 -  1722,,
0000860,anoniem,,,,,,,,,,,,kom,,,,,,,,,,,,,,,aardewerk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500 -  1600,,
0000747,anoniem,,,,,,,,,,,,kan,,,,,,,,,,,,,,,bergkristal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700 -  1800,,
0000883,anoniem,,,,,,,,,,,,beeldhouwwerk,bouwfragment,,,,,,,,,,,,,,hout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ca. 1700 - ca. 1800,,
0000039,Boucher François,,,,,,,,,,,,tekening,,,,,,,,,,,,,,,papier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1713 -  1770,,
0000742,anoniem,,,,,,,,,,,,beeldhouwwerk,vaas,,,,,,,,,,,,,,jade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1775 -  1800,,
0000012,anoniem,,,,,,,,,,,,poppenhuisgoed,kom,,,,,,,,,,,,,,aardewerk,tinglazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,ca. 1700 - ca. 1799,,
0000712,anoniem,anoniem,,,,,,,,,,,kruik,baardmankruik,,,,,,,,,,,,,,steengoed,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,ca. 1530 - ca. 1570,,
0000976,anoniem,,,,,,,,,,,,theepot,theepot,,,,,,,,,,,,,,porselein,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,ca. 1700 - ca. 1725,,
0000503,anoniem,,,,,,,,,,,,kom,theekom,,,,,,,,,,,,,,steengoed,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,1820 -  1850,,
0000327,anoniem,,,,,,,,,,,,pot,,,,,,,,,,,,,,,steengoed,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,960 -  1279,,
0000214,Iwamoto Konkan,,,,,,,,,,,,kozuka,,,,,,,,,,,,,,,suassa,goud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0000172,anoniem,,,,,,,,,,,,beeldhouwwerk,reliëf,,,,,,,,,,,,,,hout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ca. 1750 - ca. 1800,,
0000354,anoniem,,,,,,,,,,,,kom,theekom,,,,,,,,,,,,,,steengoed,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,960 -  1279,,
0000602,anoniem,,,,,,,,,,,,suzuribako,schrijfcassette,,,,,,,,,,,,,,hout,lak,parelmoer,,,,,,,,,,,,,,,,,,,,,,,,,,,1557 -  1625,,
0000483,anoniem,,,,,,,,,,,,chaire,stoftheebus,,,,,,,,,,,,,,steengoed,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0000274,Goto Mitsuyoshi,,,,,,,,,,,,tsuba,,,,,,,,,,,,,,,zilver,suassa,goud,,,,,,,,,,,,,,,,,,,,,,,,,,,1800 -  1830,,
0000824,anoniem,,,,,,,,,,,,schenkkan,,,,,,,,,,,,,,,porselein,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,ca. 1400 - ca. 1425,,
0000739,anoniem,,,,,,,,,,,,spatscherm,,,,,,,,,,,,,,,marmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700 -  1800,,
0000112,Denon Dominique Vivant (baron),,,,,,,,,,,,tekening,,,,,,,,,,,,,,,papier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1757 -  1825,,
0000700,Nicolle Victor Jean,,,,,,,,,,,,tekening,,,,,,,,,,,,,,,papier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1787 -  1811,,
0000470,anoniem,,,,,,,,,,,,chaire,stoftheebus,,,,,,,,,,,,,,steengoed,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,1775 -  1800,,
0000746,anoniem,,,,,,,,,,,,vaas,,,,,,,,,,,,,,,steengoed,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300 -  1400,,
0000530,anoniem,,,,,,,,,,,,chaire,stoftheebus,,,,,,,,,,,,,,steengoed,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600 -  1699,,
0000847,anoniem,,,,,,,,,,,,kendi,waterkan,,,,,,,,,,,,,,porselein,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,ca. 1575 - ca. 1600,,
0000269,Yasuchika,,,,,,,,,,,,tsuba,,,,,,,,,,,,,,,koper,shibuichi,suassa,goud,,,,,,,,,,,,,,,,,,,,,,,,,,1700 -  1900,,
0000791,anoniem,,,,,,,,,,,,beeldhouwwerk,beeld,,,,,,,,,,,,,,brons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,975 -  1025,,
0000872,anoniem,,,,,,,,,,,,schildering,,,,,,,,,,,,,,,doek,verfstof,goudverf,,,,,,,,,,,,,,,,,,,,,,,,,,,1525 -  1525,,
0000688,anoniem,,,,,,,,,,,,schildering,rolschildering,,,,,,,,,,,,,,papier,verfstof,,,,,,,,,,,,,,,,,,,,,,,,,,,,1790-01-01 -  1790-12-31,,
0000956,anoniem,,,,,,,,,,,,vaas,rolwagen,,,,,,,,,,,,,,porselein,kobalt,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,1635 -  1650,,
0000608,anoniem,,,,,,,,,,,,doos,,,,,,,,,,,,,,,hout,lak,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800 -  1825,,
0000248,anoniem,,,,,,,,,,,,tsuba,,,,,,,,,,,,,,,ijzer,koper,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600 -  1699,,
0000620,anoniem,,,,,,,,,,,,inro,,,,,,,,,,,,,,,hout,lak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0000828,anoniem,,,,,,,,,,,,vaas,,,,,,,,,,,,,,,porselein,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,ca. 1506 - ca. 1521,,
0000984,anoniem,,,,,,,,,,,,vaas,dekselvaas,dekselpot,,,,,,,,,,,,,porselein,kobalt,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,1700 -  1720,,
0000101,Fokke Simon,,,,,,,,,,,,tekening,,,,,,,,,,,,,,,papier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1710 -  1779,,
0000174,anoniem,,,,,,,,,,,,beeldhouwwerk,beeld,Avalokitesvara,,,,,,,,,,,,,brons,verguldsel,,,,,,,,,,,,,,,,,,,,,,,,,,,,512 -  512,,
0000831,anoniem,,,,,,,,,,,,bord (vaatwerk),,,,,,,,,,,,,,,porselein,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,ca. 1300 - ca. 1300,,
0000474,anoniem,,,,,,,,,,,,chaire,stoftheebus,,,,,,,,,,,,,,steengoed,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700 -  1800,,
0000635,anoniem,,,,,,,,,,,,suzuribako,,,,,,,,,,,,,,,hout,lak,parelmoer,,,,,,,,,,,,,,,,,,,,,,,,,,,ca. 1800 - ca. 1800,,
0000226,Joi,,,,,,,,,,,,kozuka,,,,,,,,,,,,,,,roodkoper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0000735,Chiang Ting,,,,,,,,,,,,schildering,,,,,,,,,,,,,,,inkt,papier,,,,,,,,,,,,,,,,,,,,,,,,,,,,1772 -  1772,1832 -  1832,
0000219,anoniem,,,,,,,,,,,,kozuka,,,,,,,,,,,,,,,ijzer,email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0000238,Kaneyoshi,,,,,,,,,,,,tsuba,,,,,,,,,,,,,,,ijzer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600 -  1699,,
0000755,anoniem,,,,,,,,,,,,beeldhouwwerk,beeld,,,,,,,,,,,,,,andesiet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600 -  930,,
0000560,anoniem,,,,,,,,,,,,hiire,houtskoolbrander,,,,,,,,,,,,,,steengoed,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,1775 -  1800,,
0000819,anoniem,,,,,,,,,,,,kom,,,,,,,,,,,,,,,porselein,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,ca. 1575 - ca. 1600,,
0000743,anoniem,,,,,,,,,,,,kom,,,,,,,,,,,,,,,jade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ca. 1700 - ca. 1800,,
0000987,,,,,,,,,,,,,kan,,,,,,,,,,,,,,,porselein,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,1736 -  1795,,
