id,creator,type,material,date
0000277,anoniem,tsuba,ijzer,1600 -  1699
0000278,Yasuchika,tsuba,koper,1800 -  1900
0000279,anoniem,tsuba,ijzer,1600 -  1800
0000280,Yoshinaga,tsuba,ijzer,1600 -  1699
0000281,anoniem,tsuba,ijzer,1600 -  1699
0000282,Teimei,tsuba,ijzer,1700 -  1800
0000283,anoniem,tsuba,messing,
0000284,anoniem,tsuba,ijzer,1600 -  1699
0000285,anoniem,tsuba,ijzer,1600 -  1699
0000286,anoniem,tsuba,ijzer,1600 -  1800
0000287,Umetada,tsuba,ijzer,
0000288,Kunishige,tsuba,koper,1700 -  1800
0000289,anoniem,tsuba,messing,
0000290,Iwamoto Konkan,tsuba,ijzer,1750 -  1850
0000291,anoniem,tsuba,ijzer,
0000292,Nagahara,tsuba,koper,
0000293,anoniem,tsuba,ijzer,
0000294,Sadashichi Masayoshi,tsuba,ijzer,1750 -  1800
0000295,anoniem,tsuba,ijzer,
0000296,anoniem,tsuba,ijzer,
0000297,Kitagawa Soten,tsuba,ijzer,1675 -  1700
0000298,Hiroyoshi,tsuba,koper,1800 -  1850
0000299,anoniem,tsuba,ijzer,
0000300,anoniem,tsuba,ijzer,
0000301,Umetada Shichiza,tsuba,ijzer,1675 -  1725
0000302,Soten,tsuba,ijzer,1650 -  1700
0000303,Kawamura Tsuneshige,tsuba,koper,1725 -  1775
0000304,Ito Masakata,tsuba,ijzer,1700 -  1800
0000305,anoniem,tsuba,ijzer,
0000306,Hazama,tsuba,ijzer,
0000307,anoniem,tsuba,ijzer,
0000308,anoniem,tsuba,messing,
0000309,anoniem,tsuba,ijzer,
0000310,Myochin Munehide,tsuba,ijzer,1600 -  1699
0000311,anoniem,tsuba,ijzer,1600 -  1699
0000312,anoniem,tsuba,ijzer,1600 -  1699
0000313,anoniem,tsuba,koper,
0000314,anoniem,tsuba,ijzer,
0000315,anoniem,tsuba,ijzer,
0000316,anoniem,theekom,steengoed,960 -  1279
0000317,anoniem,kom,steengoed,960 -  1279
0000318,anoniem,kom,steengoed,960 -  1279
0000319,anoniem,vaas,steengoed,1368 -  1644
0000320,anoniem,vaas,aardewerk,-200 -  200
0000321,anoniem,kom,steengoed,1100 -  1150
0000322,anoniem,pot,aardewerk,960 -  1279
0000323,anoniem,kom,steengoed,960 -  1279
0000324,anoniem,kom,porselein,960 -  1279
0000325,anoniem,kom,porselein,960 -  1279
0000326,anoniem,kom,porselein,ca. 1100 - ca. 1300
0000327,anoniem,pot,steengoed,960 -  1279
0000328,anoniem,schotel,steengoed,1100 -  1127
0000329,anoniem,kom,steengoed,960 -  1279
0000330,anoniem,kom,steengoed,960 -  1279
0000331,anoniem,kom,steengoed,960 -  1279
0000332,anoniem,kom,steengoed,960 -  1279
0000333,anoniem,kom,steengoed,960 -  1279
0000334,anoniem,kom,steengoed,960 -  1279
0000335,anoniem,kom,steengoed,960 -  1279
0000336,anoniem,scepter,porselein,1736 -  1795
0000337,anoniem,pot,aardewerk,
0000338,anoniem,pot,steengoed,ca. 1368 - ca. 1644
0000339,anoniem,pot,steengoed,ca. 1368 - ca. 1644
0000340,anoniem,kom,steengoed,1000 -  1368
0000341,anoniem,kom,porselein,1127 -  1279
0000342,anoniem,kom,steengoed,960 -  1279
0000343,anoniem,kom,steengoed,960 -  1279
0000344,anoniem,kom,steengoed,960 -  1279
0000345,anoniem,kom,steengoed,960 -  1279
0000346,anoniem,kom,steengoed,960 -  1279
0000347,anoniem,kom,porselein,1723 -  1735
0000348,anoniem,schotel,steengoed,1279 -  1644
0000349,anoniem,vaas,porselein,1368 -  1644
0000350,anoniem,kom,steengoed,960 -  1279
0000351,anoniem,kom,steengoed,960 -  1279
0000352,anoniem,kom,steengoed,960 -  1279
0000353,anoniem,kom,steengoed,960 -  1279
0000354,anoniem,kom,steengoed,960 -  1279
0000355,anoniem,kom,steengoed,960 -  1279
0000356,anoniem,theepot,porselein,1700 -  1800
0000357,anoniem,vaas,steengoed,960 -  1279
0000358,anoniem,schotel,porselein,ca. 1575 - ca. 1625
0000359,anoniem,kom,steengoed,960 -  1279
0000360,anoniem,pot,aardewerk,618 -  906
0000361,anoniem,schaal (objectnaam),porselein,1368 -  1644
0000362,anoniem,doos,porselein,960 -  1279
0000363,anoniem,kom,porselein,960 -  1279
0000364,anoniem,kan,aardewerk,ca. 900 - ca. 1000
0000365,anoniem,kom,porselein,960 -  1279
0000366,anoniem,schaal (objectnaam),porselein,960 -  1279
0000367,anoniem,schaal (objectnaam),steengoed,960 -  1279
0000368,anoniem,kom,porselein,960 -  1279
0000369,anoniem,kom,steengoed,960 -  1279
0000370,anoniem,schaal (objectnaam),porselein,960 -  1279
0000371,anoniem,kom,porselein,ca. 960 - ca. 1279
0000372,anoniem,schaal (objectnaam),steengoed,1279 -  1368
0000373,anoniem,kom,steengoed,1279 -  1368
0000374,anoniem,pot,steengoed,1279 -  1368
0000375,anoniem,doos,porselein,1279 -  1368
0000376,anoniem,vaas,steengoed,1600 -  1800
0000377,anoniem,pot,steengoed,1550 -  1600
0000378,anoniem,vaas,porselein,ca. 1575 - ca. 1600
0000379,anoniem,schaal (objectnaam),porselein,1368 -  1644
0000380,anoniem,schaal (objectnaam),porselein,1661 -  1722
0000381,anoniem,kom op voet,porselein,ca. 1600 - ca. 1699
0000382,anoniem,pot,porselein,ca. 1620 - ca. 1640
0000383,anoniem,beeldhouwwerk,porselein,1662 -  1722
0000384,anoniem,beeldhouwwerk,porselein,1662 -  1722
0000385,anoniem,vaas,porselein,ca. 1700 - ca. 1720
0000386,anoniem,kan,porselein,ca. 1600 - ca. 1699
0000387,anoniem,penseelpot,porselein,ca. 1700 - ca. 1725
0000388,anoniem,pot,porselein,ca. 1600 - ca. 1699
0000389,anoniem,schaal (objectnaam),porselein,1661 -  1722
0000390,anoniem,bord (vaatwerk),porselein,1661 -  1722
0000391,anoniem,trechter,porselein,1700 -  1800
0000392,anoniem,kom,porselein,1600 -  1625
0000393,He Chaozong,beeldhouwwerk,blanc de Chine,1675 -  1700
0000394,anoniem,kom,porselein,ca. 1630 - ca. 1645
0000395,anoniem,schaal (objectnaam),porselein,ca. 1600 - ca. 1625
0000396,anoniem,schaal (objectnaam),porselein,1580 -  1620
0000397,anoniem,wierookbrander,blanc de Chine,1675 -  1700
0000398,anoniem,kom,porselein,ca. 1700 - ca. 1700
0000399,anoniem,bord (vaatwerk),porselein,ca. 1700 - ca. 1700
0000400,anoniem,schaal (objectnaam),porselein,1700 -  1800
0000401,He Chaozong,figuur,blanc de Chine,ca. 1750 - ca. 1800
0000402,anoniem,beeldhouwwerk,porselein,1661 -  1722
0000403,anoniem,kom,porselein,ca. 1675 - ca. 1700
0000404,anoniem,fles,porselein,ca. 1300 - ca. 1400
0000405,anoniem,doos,porselein,ca. 1675 - ca. 1700
0000406,anoniem,vaas,porselein,ca. 1575 - ca. 1600
0000407,anoniem,kendi,porselein,1580 -  1620
0000408,anoniem,pot,porselein,ca. 1475 - ca. 1500
0000409,anoniem,doos,porselein,ca. 1450 - ca. 1500
0000410,anoniem,doos,porselein,ca. 1300 - ca. 1400
0000411,anoniem,doos,porselein,1500 -  1600
0000412,anoniem,doos,porselein,1500 -  1600
0000413,anoniem,doos,porselein,1575 -  1600
0000414,anoniem,doos,porselein,ca. 1645 - ca. 1660
0000415,anoniem,doos,porselein,1500 -  1600
0000416,anoniem,doos,porselein,1500 -  1600
0000417,anoniem,doos,porselein,1500 -  1600
0000418,anoniem,kop,porselein,ca. 1645 - ca. 1660
0000419,Mallet Jean Baptiste,tekening,papier,1788 -  1799
0000420,Moreau Louis Gabriel,tekening,papier,1750 -  1806
0000421,Moreau Louis Gabriel,tekening,papier,1750 -  1806
0000422,Monnet Charles,tekening,papier,1742 -  1808
0000423,anoniem,kruik,steengoed,ca. 1525 - ca. 1550
0000424,Marsy J. de,tekening,papier,1700 -  1800
0000425,Moulinneuf H.A.,tekening,papier,1803 -  1803
0000426,Marillier Clément Pierre,tekening,papier,1775 -  1775
0000427,Mennicken Jan Baldems,kan,steengoed,1599 -  1599
0000428,Kran Engel,kan,steengoed,ca. 1584 - ca. 1600
0000429,Mennicken Emonds,kan,steengoed,1586 -  1586
0000430,Oudry Jean Baptiste,tekening,papier,1696 -  1755
0000431,Ollivier Michel Barthélémy,tekening,papier,1722 -  1784
0000432,Ollivier Michel Barthélémy,tekening,papier,1722 -  1784
0000433,Oudry Jean Baptiste,tekening,papier,ca. 1700 - ca. 1800
0000434,anoniem,kan,steengoed,1566 -  1566
0000435,anoniem,kruik,steengoed,1607 -  1607
0000436,Mennicken Jan Baldems,kan,steengoed,1602 -  1602
0000437,anoniem,kruik,steengoed,ca. 1570 - ca. 1575
0000438,Oudry Jean Baptiste,tekening,papier,1731 -  1731
0000439,Oudry Jean Baptiste,tekening,papier,1731 -  1731
0000440,Oudry Jean Baptiste,tekening,papier,1732 -  1732
0000441,Oudry Jean Baptiste,tekening,papier,1732 -  1732
0000442,anoniem,kruik,steengoed,1581 -  1581
0000443,anoniem,kom,steengoed,1700 -  1800
0000444,anoniem,chaire,steengoed,ca. 1550 - ca. 1600
0000445,Yaheita (Yaheiji ?),vaas,steengoed,1675 -  1700
0000446,anoniem,chaire,steengoed,1675 -  1700
0000447,anoniem,chaire,steengoed,
0000448,anoniem,vaas,steengoed,1700 -  1800
0000449,anoniem,kom,steengoed,1700 -  1725
0000450,anoniem,houtskoolbrander,steengoed,1600 -  1699
0000451,anoniem,vaas,steengoed,
0000452,anoniem,kom,steengoed,1700 -  1800
0000453,anoniem,kom,steengoed,1700 -  1800
0000454,anoniem,kom,steengoed,ca. 1500 - ca. 1600
0000455,Ichinyu-Raku IV,kom,steengoed,1600 -  1699
0000456,anoniem,kom,steengoed,1600 -  1699
0000457,anoniem,kom,steengoed,ca. 1600 - ca. 1699
0000458,anoniem,kom,steengoed,1600 -  1699
0000459,anoniem,chaire,steengoed,
0000460,anoniem,chaire,steengoed,1700 -  1800
0000461,anoniem,chaire,steengoed,1775 -  1825
0000462,anoniem,chaire,steengoed,1600 -  1800
0000463,anoniem,chaire,steengoed,
0000464,anoniem,chaire,steengoed,1700 -  1800
0000465,anoniem,chaire,steengoed,1600 -  1699
0000466,anoniem,chaire,steengoed,1600 -  1800
0000467,anoniem,chaire,steengoed,1700 -  1800
0000468,anoniem,chaire,steengoed,
0000469,anoniem,chaire,steengoed,
0000470,anoniem,chaire,steengoed,1775 -  1800
0000471,anoniem,chaire,steengoed,
0000472,anoniem,chaire,steengoed,
0000473,anoniem,chaire,steengoed,
0000474,anoniem,chaire,steengoed,1700 -  1800
0000475,anoniem,chaire,steengoed,
0000476,anoniem,chaire,steengoed,
0000477,anoniem,chaire,steengoed,
0000478,anoniem,wierookbrander,steengoed,1700 -  1800
0000479,anoniem,chaire,steengoed,1600 -  1699
0000480,anoniem,chaire,steengoed,
0000481,anoniem,chaire,steengoed,
0000482,anoniem,chaire,steengoed,
0000483,anoniem,chaire,steengoed,
0000484,anoniem,chaire,steengoed,
0000485,anoniem,chaire,steengoed,
0000486,anoniem,chaire,steengoed,
0000487,anoniem,chaire,steengoed,
0000488,anoniem,chaire,steengoed,
0000489,anoniem,chaire,steengoed,
0000490,anoniem,chaire,steengoed,
0000491,anoniem,chaire,steengoed,
0000492,anoniem,chaire,steengoed,
0000493,anoniem,chaire,steengoed,
0000494,anoniem,chaire,steengoed,
0000495,anoniem,chaire,steengoed,
0000496,anoniem,chaire,steengoed,1600 -  1800
0000497,anoniem,chaire,steengoed,
0000498,anoniem,chaire,steengoed,
0000499,anoniem,chaire,steengoed,1600 -  1725
0000500,anoniem,kom,steengoed,1700 -  1800
0000501,anoniem,vaas,steengoed,1775 -  1825
0000502,anoniem,kom,steengoed,1700 -  1800
0000503,anoniem,kom,steengoed,1820 -  1850
0000504,anoniem,vaas,steengoed,1700 -  1800
0000505,anoniem,wierookbrander,steengoed,1700 -  1800
0000506,anoniem,kom,steengoed,1500 -  1700
0000507,anoniem,fles,steengoed,
0000508,anoniem,fles,porselein,ca. 1670 - ca. 1680
0000509,anoniem,fles,steengoed,
0000510,anoniem,pot,steengoed,1600 -  1800
0000511,Chojiro,kom,steengoed,ca. 1575 - ca. 1600
0000512,anoniem,kom,steengoed,ca. 1575 - ca. 1600
0000513,anoniem,fles,steengoed,1600 -  1699
0000514,anoniem,wierookdoos,steengoed,1700 -  1800
0000515,anoniem,schaal (objectnaam),steengoed,1600 -  1699
0000516,anoniem,urn,steengoed,1300 -  1500
0000517,anoniem,fles,porselein,ca. 1660 - ca. 1680
0000518,anoniem,wierookdoos,steengoed,1700 -  1800
0000519,anoniem,doos,steengoed,1700 -  1800
0000520,anoniem,wierookdoos,steengoed,1700 -  1800
0000521,anoniem,wierookdoos,steengoed,1700 -  1800
0000522,anoniem,wierookdoos,steengoed,1700 -  1800
0000523,anoniem,wierookdoos,steengoed,1700 -  1800
0000524,anoniem,wierookdoos,steengoed,1700 -  1800
0000525,anoniem,beeldhouwwerk,steengoed,
0000526,anoniem,wierookbrander,steengoed,
0000527,anoniem,kan,steengoed,
0000528,anoniem,bak,steengoed,1700 -  1800
0000529,anoniem,kom,steengoed,1775 -  1825
0000530,anoniem,chaire,steengoed,1600 -  1699
0000531,anoniem,kom,steengoed,1600 -  1699
0000532,anoniem,kom,steengoed,1600 -  1699
0000533,anoniem,kom,steengoed,
0000534,anoniem,chaire,steengoed,1600 -  1699
0000535,anoniem,kom,steengoed,1775 -  1825
0000536,anoniem,kom,steengoed,1750 -  1800
0000537,anoniem,kom,steengoed,1750 -  1800
0000538,anoniem,kom,steengoed,1700 -  1800
0000539,anoniem,doos,steengoed,
0000540,anoniem,doos,steengoed,1700 -  1800
0000541,anoniem,kom,steengoed,1700 -  1800
0000542,anoniem,kom,steengoed,1700 -  1725
0000543,anoniem,kom,steengoed,1700 -  1800
0000544,anoniem,kom,steengoed,1775 -  1800
0000545,anoniem,fles,steengoed,1700 -  1800
0000546,anoniem,fles,steengoed,1700 -  1800
0000547,anoniem,kom,steengoed,1600 -  1699
0000548,anoniem,beeldhouwwerk,steengoed,
0000549,anoniem,vaas,steengoed,1600 -  1699
0000550,anoniem,kom,steengoed,1700 -  1800
0000551,anoniem,kom,steengoed,1700 -  1800
0000552,anoniem,kom,steengoed,1800 -  1825
0000553,anoniem,kom,steengoed,1775 -  1800
0000554,anoniem,fles,steengoed,1700 -  1800
0000555,anoniem,pot,steengoed,1800 -  1850
0000556,anoniem,doos,steengoed,ca. 1775 - ca. 1825
0000557,anoniem,kom,aardewerk,1700 -  1800
0000558,anoniem,chaire,steengoed,1600 -  1699
0000559,anoniem,kom,aardewerk,
0000560,anoniem,hiire,steengoed,1775 -  1800
0000561,Eiraku Hozen,schaal (objectnaam),steengoed,1775 -  1825
0000562,anoniem,doos,steengoed,
0000563,anoniem,kom,aardewerk,1600 -  1699
0000564,anoniem,chaire,steengoed,1600 -  1699
0000565,anoniem,chaire,steengoed,1600 -  1699
0000566,Kiyomizu Rokubei,kom,steengoed,1750 -  1800
0000567,anoniem,chaire,steengoed,1600 -  1800
0000568,anoniem,vaas,steengoed,1675 -  1700
0000569,anoniem,hiire,steengoed,1700 -  1800
0000570,anoniem,kom,steengoed,1600 -  1800
0000571,anoniem,vaas,steengoed,
0000572,anoniem,urn,steengoed,
0000573,anoniem,vaas,steengoed,1600 -  1699
0000574,anoniem,pot,steengoed,1775 -  1825
0000575,anoniem,kom,steengoed,1700 -  1800
0000576,anoniem,kom,steengoed,1700 -  1800
0000577,anoniem,netsuke,hout,
0000578,Shuzan,netsuke,hout,1700 -  1800
0000579,anoniem,netsuke,hout,
0000580,anoniem,netsuke,hout,
0000581,anoniem,netsuke,hout,
0000582,anoniem,netsuke,ivoor,1700 -  1800
0000583,Tomomasa,netsuke,hout,1800 -  1850
0000584,Ransen,netsuke,hout,1800 -  1850
0000585,Sukenaga,netsuke,hout,1800 -  1825
0000586,Tomotada,netsuke,hout,1800 -  1850
0000587,Miwa,netsuke,hout,1700 -  1800
0000588,Ryogyoku,netsuke,ivoor,1775 -  1825
0000589,Tomotada,netsuke,hout,1800 -  1850
0000590,Ranichi,netsuke,ivoor,1790 -  1800
0000591,anoniem,netsuke,ivoor,1700 -  1800
0000592,anoniem,netsuke,hout,
0000593,anoniem,netsuke,hout,1700 -  1900
0000594,anoniem,netsuke,hout,1700 -  1800
0000595,Sogyoku,netsuke,hout,
0000596,Hidemasa,netsuke,hout,1800 -  1825
0000597,anoniem,netsuke,hout,
0000598,anoniem,netsuke,ivoor,
0000599,,netsuke,hout,
0000600,anoniem,netsuke,hout,
0000601,anoniem,wierookdoos,hout,1500 -  1600
0000602,anoniem,suzuribako,hout,1557 -  1625
0000603,anoniem,suzuribako,hout,1600 -  1699
0000604,anoniem,hibachi,hout,1700 -  1800
0000605,anoniem,wierookdoos,hout,ca. 1700 - ca. 1800
0000606,anoniem,doos,hout,1775 -  1825
0000607,anoniem,suzuribako,hout,1775 -  1825
0000608,anoniem,doos,hout,1800 -  1825
0000609,anoniem,inro,hout,1700 -  1800
0000610,anoniem,inro,hout,1700 -  1800
0000611,anoniem,inro,hout,1700 -  1800
0000612,Shiomi Masanari,inro,hout,1700 -  1800
0000613,anoniem,inro,hout,1821-01-01 -  1821-12-31
0000614,anoniem,waaier,bamboe,1600 -  1699
0000615,anoniem,doos,hout,1850 -  1900
0000616,anoniem,doos,hout,ca. 1700 - ca. 1800
0000617,Zokoku,wierookdoos,hout,1825 -  1875
0000618,anoniem,inro,hout,1700 -  1800
0000619,anoniem,inro,hout,ca. 1800 - ca. 1800
0000620,anoniem,inro,hout,
0000621,anoniem,inro,hout,
0000622,Toshihide,inro,hout,1725 -  1825
0000623,anoniem,inro,hout,
0000624,anoniem,inro,hout,
0000625,Nishikawa Yasunobu,inro,hout,
0000626,anoniem,inro,hout,1800 -  1825
0000627,anoniem,inro,hout,1800 -  1825
0000628,anoniem,inro,hout,1700 -  1800
0000629,Gyokuzan Okada,doos,hout,ca. 1800 - ca. 1800
0000630,anoniem,inro,hout,1775 -  1800
0000631,anoniem,doos,hout,ca. 1775 - ca. 1800
0000632,anoniem,ladenkast,hout,1775 -  1825
0000633,anoniem,inro,hout,ca. 1800 - ca. 1800
0000634,anoniem,suzuribako,hout,ca. 1800 - ca. 1800
0000635,anoniem,suzuribako,hout,ca. 1800 - ca. 1800
0000636,anoniem,doos,hout,1775 -  1800
0000637,Shigehide,inro,hout,ca. 1800 - ca. 1800
0000638,anoniem,suzuribako,hout,1700 -  1800
0000639,anoniem,doos,hout,1775 -  1825
0000640,Shojo,suzuribako,hout,ca. 1800 - ca. 1800
0000641,anoniem,rookstel,hout,1800 -  1825
0000642,Ritsuô,doos,hout,ca. 1675 - ca. 1725
0000643,anoniem,doos,hout,1775 -  1800
0000644,anoniem,vogelkooi,hout,
0000645,anoniem,tafel,hout,
0000646,anoniem,lessenaar,hout,1700 -  1800
0000647,anoniem,wierookdoos,hout,1700 -  1800
0000648,anoniem,wierookdoos,hout,1500 -  1600
0000649,anoniem,beeldhouwwerk,hout,1200 -  1250
0000650,anoniem,beeldhouwwerk,hout,ca. 1275 - ca. 1350
0000651,anoniem,beeldhouwwerk,hout,1400 -  1600
0000652,anoniem,beeldhouwwerk,hout,1400 -  1500
0000653,anoniem,beeldhouwwerk,hout,ca. 1500 - ca. 1600
0000654,anoniem,beeldhouwwerk,hout,1500 -  1525
0000655,anoniem,beeldhouwwerk,hout,1600 -  1699
0000656,anoniem,beeldhouwwerk,hout,1700 -  1750
0000657,Yukan,beeldhouwwerk,hout,
0000658,anoniem,spiegel,brons,ca. 1100 - ca. 1185
0000659,anoniem,pistool,ijzer,1700 -  1850
0000660,anoniem,schildering,zijde,1250 -  1300
0000661,anoniem,schildering,zijde,1375 -  1425
0000662,anoniem,schildering,papier,1575 -  1600
0000663,Tosa Mitsuoki,schildering,zijde,1650 -  1680
0000664,anoniem,schildering,papier,1400 -  1600
0000665,anoniem,beeldhouwwerk,hout,1125 -  1175
0000666,anoniem,beeldhouwwerk,hout,1275 -  1325
0000667,anoniem,keman,brons,1200 -  1300
0000668,Kaihoku Yusho,schildering,papier,1600 -  1799
0000669,anoniem,wapenrusting,metaal,1500 -  1725
0000670,anoniem,wapenrusting,metaal,ca. 1700 - ca. 1800
0000671,anoniem,blad,hout,1775 -  1800
0000672,anoniem,schildering,papier,1700 -  1800
0000673,Sesshu,schildering,hout,1700 -  1800
0000674,,vaas,bamboe,
0000675,Kubo Shumman,prent,papier,1810 -  1819
0000676,anoniem,schildering,papier,1661 -  1672
0000677,anoniem,beeldhouwwerk,hout,1800 -  1850
0000678,anoniem,beeldhouwwerk,hout,1800 -  1850
0000679,Mitsunaga,beeldhouwwerk,hout,1672
0000680,Masayoshi Kitao,prent,papier,1775 -  1824
0000681,anoniem,beeldhouwwerk,hout,
0000682,Utagawa,boek,papier,1830 -  1840
0000683,Hokusai Katsushika,boek,papier,ca. 1800 - ca. 1815
0000684,Hokusai Katsushika,boek,papier,1815 -  1815
0000685,Hiroshige (I) Utagawa,boek,papier,ca. 1825 - ca. 1835
0000686,Hokusai Katsushika,boek,papier,1819 -  1819
0000687,Tatsu,schildering,papier,1700 -  1800
0000688,anoniem,schildering,papier,1790-01-01 -  1790-12-31
0000689,anoniem,schildering,zijde,1200 -  1300
0000690,anoniem,herenkleding,linnen,in of voor 1640 - in or before 1640
0000691,anoniem,herenkleding,linnen,in of voor 1640 - in or before 1640
0000692,anoniem,schotel,porselein,voor 1613 - before 1613
0000693,Smout John,herenkleding,zijde,1647 -  1647
0000694,anoniem,bord (vaatwerk),porselein,voor 1613 - before 1613
0000695,Oppenort Gilles Marie,tekening,papier,1682 -  1742
0000696,Natoire Charles Joseph,tekening,papier,1710 -  1777
0000697,Nicolle Victor Jean,tekening,papier,1787 -  1811
0000698,Nicolle Victor Jean,tekening,papier,1787 -  1811
0000699,Nicolle Victor Jean,tekening,papier,1787 -  1811
0000700,Nicolle Victor Jean,tekening,papier,1787 -  1811
0000701,Nicolle Victor Jean,tekening,papier,1787 -  1811
0000702,anoniem,herenkleding,zijde,ca. 1600 - ca. 1699
0000703,Nicolle Victor Jean,tekening,papier,1787 -  1811
0000704,Nicolle Victor Jean,tekening,papier,1787 -  1811
0000705,Nicolle Victor Jean,tekening,papier,1787 -  1811
0000706,Nicolle Victor Jean,tekening,papier,1787 -  1811
0000707,Portail Jacques André,tekening,papier,1740 -  1759
0000708,anoniem,kruik,steengoed,1594 -  1600
0000709,Pillement Jean Baptiste,tekening,papier,1770 -  1770
0000710,Pillement Jean Baptiste,tekening,papier,1770 -  1770
0000711,Pillement Jean Baptiste,tekening,papier,1770 -  1770
0000712,anoniem,kruik,steengoed,ca. 1530 - ca. 1570
0000713,Pillement Jean Baptiste,tekening,papier,1771 -  1771
0000714,Pillement Jean Baptiste,tekening,papier,1771 -  1771
0000715,Parrocel Charles,tekening,papier,ca. 1700 - ca. 1724
0000716,Parrocel Charles,tekening,papier,1735 -  1737
0000717,anoniem,kruik,steengoed,ca. 1520 - ca. 1560
0000718,anoniem,herenkleding,laken (materiaal),ca. 1800 - ca. 1825
0000719,Parrocel Charles,tekening,papier,1698 -  1752
0000720,Parrocel Charles,tekening,papier,1698 -  1752
0000721,Peyron Jean François Pierre,tekening,papier,1754 -  1814
0000722,anoniem,kruik,steengoed,ca. 1520 - ca. 1560
0000723,Peyron Jean François Pierre,tekening,papier,1754 -  1814
0000724,anoniem,kruik,steengoed,1530 -  1560
0000725,Pâris Pierre Adrien,tekening,papier,1760 -  1819
0000726,anoniem,ritueel object,been,-1600 -  -1000
0000727,anoniem,doos,zilver,618 -  907
0000728,anoniem,tafel,email,1400 -  1600
0000729,anoniem,ritueel object,jade,-1600 -  -1000
0000730,anoniem,cong,jade,-3000 -  -2000
0000731,anoniem,haarsieraad,koraal,960 -  1279
0000732,anoniem,schildering,zijde,1368 -  1644
